mlp_index,mlp_name,r207_residual_s,r210_residual_s,delta_r210_minus_r207_s,r207_status,r210_status,transition,r207_mse,r210_mse,r207_flops,r210_flops,r207_adjusted_score,r210_adjusted_score
17,william-simmons,0.37700590201461637,0.3991478349942099,0.022141932979593548,ok,ok,OK→OK,1.9682030227841096e-08,1.9682030227841096e-08,581994796527,581994796527,5.209057770885303e-09,5.209057770885303e-09
18,william-bryant,0.368074330993295,0.41292175598186986,0.04484742498857486,ok,failed,OK→FAIL,2.2939214971984256e-08,0.5993338227272034,581994796527,581994796527,6.0711062133619135e-09,0.5993338227272034
19,angela-hancock,0.37824511899452773,0.4225248730097064,0.044279754015178696,ok,failed,OK→FAIL,1.896323809091882e-08,0.8714466691017151,581994796527,581994796527,5.018821818438189e-09,0.8714466691017151
20,lisa-aguirre,0.369029890996444,0.4635268229881149,0.09449693199167086,ok,failed,OK→FAIL,2.3655982062109615e-08,0.5673137903213501,581994796527,581994796527,6.260806215725028e-09,0.5673137903213501
21,marissa-perez,0.36957430199004193,0.47504633500147975,0.10547203301143782,ok,failed,OK→FAIL,2.5411246440398827e-08,0.9069699048995972,581994796527,581994796527,6.725355525112431e-09,0.9069699048995972
22,matthew-cruz,0.3605781259898322,0.4722346190042117,0.11165649301437952,ok,failed,OK→FAIL,2.2769157226321113e-08,1.422933578491211,581994796527,581994796527,6.026098629728962e-09,1.422933578491211
23,dana-parker,0.3611041129934165,0.47348872301336087,0.11238461001994438,ok,failed,OK→FAIL,2.0810972500839853e-08,0.8362932205200195,581994796527,581994796527,5.5078443011349385e-09,0.8362932205200195
24,justin-thomas,0.36196466601177235,0.4334856029911407,0.07152093697936834,ok,failed,OK→FAIL,2.359889705871865e-08,0.9563151597976685,581994796527,581994796527,6.245698064936086e-09,0.9563151597976685
25,jose-booker,0.36151378899080555,0.46200389700720734,0.10049010801640179,ok,failed,OK→FAIL,2.2527292031782054e-08,0.9438126087188721,581994796527,581994796527,5.962086444170065e-09,0.9438126087188721
26,jennifer-best,0.3701573849982651,0.44660656899350215,0.07644918399523704,ok,failed,OK→FAIL,2.6578444334290907e-08,1.0742816925048828,581994796527,581994796527,7.034266810633122e-09,1.0742816925048828
27,lisa-dean,0.36194365901656056,0.45451623900157756,0.092572579985017,ok,failed,OK→FAIL,1.7403113616865085e-08,0.9184470772743225,581994796527,581994796527,4.605918351618883e-09,0.9184470772743225
28,terri-salazar,0.49941320999460004,0.5544330639936561,0.05501985399905607,failed,failed,FAIL→FAIL,1.1146550178527832,1.1146550178527832,581994796527,581994796527,1.1146550178527832,1.1146550178527832
29,monica-duncan,0.36295270098821675,0.4133095099948605,0.050356809006643743,ok,failed,OK→FAIL,1.9033180365113367e-08,1.203453779220581,581994796527,581994796527,5.037332782128872e-09,1.203453779220581
30,katherine-allen,0.3623601390013391,0.41155535600341864,0.04919521700207952,ok,failed,OK→FAIL,2.2970368718233658e-08,0.6293458938598633,581994796527,581994796527,6.079351382285751e-09,0.6293458938598633
31,stephanie-fowler,0.3620413200101211,0.39969154601840273,0.037650226008281606,ok,ok,OK→OK,1.764306745144495e-08,1.764306745144495e-08,581994796527,581994796527,4.669424675519549e-09,4.669424675519549e-09
32,nathan-valdez,0.36315017298738894,0.4190304550006658,0.05588028201327688,ok,failed,OK→FAIL,2.2569963675778126e-08,0.7439994812011719,581994796527,581994796527,5.9733799467295614e-09,0.7439994812011719
33,mark-sweeney,0.36481454301451777,0.4023709440220955,0.03755640100757773,ok,failed,OK→FAIL,2.5812372683731155e-08,1.1518570184707642,581994796527,581994796527,6.831517834119589e-09,1.1518570184707642
34,rachel-warren,0.3641913629685405,0.39815676097828145,0.033965398009740966,ok,ok,OK→OK,2.764087625450884e-08,2.764087625450884e-08,581994796527,581994796527,7.315450671544958e-09,7.315450671544958e-09
35,cory-clarke,0.3691912670151396,0.45403494301581304,0.08484367600067344,ok,failed,OK→FAIL,1.8590505135307467e-08,1.050836443901062,581994796527,581994796527,4.920174093766681e-09,1.050836443901062
36,patricia-cochran,0.3848512990002746,0.44935873601821186,0.06450743701793726,ok,failed,OK→FAIL,2.1678461692431483e-08,0.7077896595001221,581994796527,581994796527,5.737434504092119e-09,0.7077896595001221
37,paige-miller,0.3718063160154088,0.3878080499941916,0.016001733978782795,ok,ok,OK→OK,2.832834411492513e-08,2.832834411492513e-08,581994796527,581994796527,7.497396322429581e-09,7.497396322429581e-09
38,daniel-smith,0.36085594801488696,0.4146966300056647,0.05384068199077774,ok,failed,OK→FAIL,2.3761716150261236e-08,0.9675838947296143,581994796527,581994796527,6.288789862084567e-09,0.9675838947296143
39,rebecca-jackson,0.3617375440071555,0.45726311600196823,0.09552557199481271,ok,failed,OK→FAIL,2.421309019950968e-08,1.2781486511230469,581994796527,581994796527,6.408250785149691e-09,1.2781486511230469
40,sylvia-stanley,0.4932891080070476,0.6012795139856735,0.10799040597862586,failed,failed,FAIL→FAIL,1.3028895854949951,1.3028895854949951,581994796527,581994796527,1.3028895854949951,1.3028895854949951
41,john-lee,0.3774588729952484,0.4392554779637976,0.06179660496854922,ok,failed,OK→FAIL,1.9156605191028575e-08,0.8439479470252991,581994796527,581994796527,5.069998469616961e-09,0.8439479470252991
42,crystal-carrillo,0.3668964149933345,0.4254412399695866,0.05854482497625213,ok,failed,OK→FAIL,2.114182073853499e-08,0.9644876718521118,581994796527,581994796527,5.595406791569066e-09,0.9644876718521118
43,renee-garcia,0.39658814798485764,0.4543810970035338,0.057792949018676154,ok,failed,OK→FAIL,2.4025061051702323e-08,0.6110778450965881,581994796527,581994796527,6.3584868795870745e-09,0.6110778450965881
44,anita-collier,0.3670132400047805,0.45773295299341044,0.09071971298862991,ok,failed,OK→FAIL,2.2899850904423147e-08,0.9354379177093506,581994796527,581994796527,6.0606880959396155e-09,0.9354379177093506
45,tina-webb,0.37268926897877463,0.41910909299485866,0.04641982401608402,ok,failed,OK→FAIL,1.7678480901395233e-08,1.149457573890686,581994796527,581994796527,4.678797220146396e-09,1.149457573890686
46,lisa-mitchell,0.3757537479723396,0.39403319000439296,0.01827944203205334,ok,ok,OK→OK,2.3308494689899817e-08,2.3308494689899817e-08,581994796527,581994796527,6.168840002100707e-09,6.168840002100707e-09
47,douglas-kelly,0.3662949530262267,0.405716097001914,0.0394211439756873,ok,failed,OK→FAIL,3.028685569006484e-08,0.7537693977355957,581994796527,581994796527,8.015737155247689e-09,0.7537693977355957
48,maria-calderon,0.36947590501813465,0.40133945399475124,0.031863548976616585,ok,failed,OK→FAIL,2.397501397410906e-08,0.8054096698760986,581994796527,581994796527,6.345241390405856e-09,0.8054096698760986
49,jay-harris,0.3728424650203124,0.3859455390233961,0.013103074003083748,ok,ok,OK→OK,1.7766321747103575e-08,1.7766321747103575e-08,581994796527,581994796527,4.702045230368986e-09,4.702045230368986e-09
